part,rank,global_pos,coord,turn,sgf_file,board_npy,analysis_file
0,1,6366,D5,6,pos_6366/game.sgf,pos_6366/board.npy,pos_6366/analysis.json
0,2,3536,C4,1,pos_3536/game.sgf,pos_3536/board.npy,pos_3536/analysis.json
0,3,779,D3,13,pos_779/game.sgf,pos_779/board.npy,pos_779/analysis.json
1,1,4536,A1,1,pos_4536/game.sgf,pos_4536/board.npy,pos_4536/analysis.json
1,2,6120,PASS,1,pos_6120/game.sgf,pos_6120/board.npy,pos_6120/analysis.json
1,3,6121,PASS,1,pos_6121/game.sgf,pos_6121/board.npy,pos_6121/analysis.json
2,1,6602,D6,14,pos_6602/game.sgf,pos_6602/board.npy,pos_6602/analysis.json
2,2,2204,G5,1,pos_2204/game.sgf,pos_2204/board.npy,pos_2204/analysis.json
2,3,2194,E2,21,pos_2194/game.sgf,pos_2194/board.npy,pos_2194/analysis.json
3,1,426,A5,1,pos_426/game.sgf,pos_426/board.npy,pos_426/analysis.json
3,2,4798,A3,37,pos_4798/game.sgf,pos_4798/board.npy,pos_4798/analysis.json
3,3,1704,A5,28,pos_1704/game.sgf,pos_1704/board.npy,pos_1704/analysis.json
4,1,1704,A5,28,pos_1704/game.sgf,pos_1704/board.npy,pos_1704/analysis.json
4,2,1703,B4,7,pos_1703/game.sgf,pos_1703/board.npy,pos_1703/analysis.json
4,3,1705,A3,22,pos_1705/game.sgf,pos_1705/board.npy,pos_1705/analysis.json
5,1,1954,D7,30,pos_1954/game.sgf,pos_1954/board.npy,pos_1954/analysis.json
5,2,2742,A1,1,pos_2742/game.sgf,pos_2742/board.npy,pos_2742/analysis.json
5,3,6368,B2,29,pos_6368/game.sgf,pos_6368/board.npy,pos_6368/analysis.json
6,1,1927,A1,1,pos_1927/game.sgf,pos_1927/board.npy,pos_1927/analysis.json
6,2,5958,A1,24,pos_5958/game.sgf,pos_5958/board.npy,pos_5958/analysis.json
6,3,3374,A1,43,pos_3374/game.sgf,pos_3374/board.npy,pos_3374/analysis.json
